addresss,lattitude,longitude
대구광역시 서구 국채보상로46길 37-3,35.8687070802915,128.5581784802915
대구광역시 서구 국채보상로50길 62,35.86708718029149,128.5613240802915
대구광역시 서구 국채보상로46길 37-10,35.86849728029149,128.5587084802915
대구광역시 서구 평리로57길 15,35.8661496802915,128.5555229802915
대구광역시 서구 국채보상로42길 46,35.8675565802915,128.5559181802915
대구광역시 서구 국채보상로46길 57,35.86668068029149,128.5586027802915
대구광역시 서구 서대구로18길 9,35.86712698029149,128.5583799802915
대구광역시 서구 국채보상로46길 61,35.8663975802915,128.5592064802915
대구광역시 서구 서대구로 77,35.8657434802915,128.5566318802915
대구광역시 서구 국채보상로46길 63,35.8663174802915,128.5584186802915
대구광역시 서구 국채보상로 200,35.8710022802915,128.5543663802915
대구광역시 서구 국채보상로50길 20,35.86810568029149,128.5603655802915
대구광역시 서구 국채보상로43길 15,35.8744686802915,128.5543826802915
대구광역시 서구 국채보상로37길 35,35.8748663802915,128.5517808802915
대구광역시 서구 당산로86길 13,35.8765671802915,128.5496242802915
대구광역시 서구 달서천로 186,35.8832349802915,128.5557394802915
대구광역시 서구 서대구로45길 60,35.8795611802915,128.5492539802915
대구광역시 서구 문화로37길 6,35.8775533802915,128.5544927802915
대구광역시 서구 북비산로 156,35.87989028029149,128.5516007802915
